nro_Factura,Fecha_emisi�n,Fecha_Vencimiento,Nombre,Tel�fono,Direccion,Producto,monto_final,id_Estado
202249,30/04/2023,16/05/2023,Brittney Leyland Filipic,976395162,14544 Troy Park,Jasmine,250,No pagado
202274,28/06/2023,5/07/2023,Erasmus Walkingshaw Vennart,945992616,90 Arapahoe Plaza,Pink Cloud Bye Filter,270,Pagado
202273,10/11/2023,30/11/2023,Nicolina Espley Hylton,946954270,52 Grim Junction,Tease Me,149.5,Falta Pagar
202209,15/04/2024,14/05/2024,Betteanne Forman Barthram,941492474,633 Summerview Place,Blur Italia Deluxe,54,No pagado
202275,14/02/2024,26/02/2024,Valentino Leavens Jerosch,911181184,86 Mandrake Plaza,Nude X,304,Pagado
202265,4/05/2023,26/05/2023,Welbie Lulham Stowe,973149421,1288 Merrick Place,Jasmine,253,Falta Pagar
202272,16/02/2024,29/02/2024,Maribel Ranscombe Petigrew,936825696,7640 Algoma Lane,Blur Italia Deluxe,110,Pagado
202269,18/01/2023,25/01/2023,Zorine Gillingham Laverty,965971362,143 Starling Junction,Island Girl,202,No pagado
202206,30/12/2023,23/01/2024,Dannie Bray Confait,959312589,70 Warbler Hill,Nude X,155,No pagado
202213,3/06/2023,12/06/2023,Gael Kupis Malby,928234654,96137 Mifflin Road,Bye Filter,207,No pagado
202237,4/09/2023,17/09/2023,Jourdain Gosneye Akroyd,906027366,49573 Florence Park,Island Girl,134,Pagado
202260,16/04/2024,25/04/2024,Levey Bernard Ditchburn,960635993,30205 Maple Wood Plaza,Jasmine,89.5,Pagado
202255,19/05/2023,18/06/2023,Ario Sebring Dunks,950565029,56 Maywood Place,Corrector HD Pro,176,Falta Pagar
202270,5/01/2024,29/01/2024,Elfie Gilford McGannon,932170987,62722 Monica Court,Nude X,224.5,Falta Pagar
202205,19/03/2023,27/03/2023,Rudd Beckingham Eisikovitsh,953166105,0689 American Crossing,Island Girl,128,Pagado
202221,2/07/2023,19/07/2023,Renault Tremouille Otter,980039726,2 Farwell Trail,Blur Italia Deluxe,95,Falta Pagar
202290,22/05/2023,18/06/2023,Grannie Whitney Kinnin,997122321,62901 Burrows Road,Pink Cloud Bye Filter,145.5,Pagado
202250,1/02/2023,2/03/2023,Melli Pritchett Karolowski,984774876,595 Roth Park,Blur Italia Deluxe,75,Pagado
202278,31/10/2023,26/11/2023,Brit Pendered Morde,911856386,467 Londonderry Point,Corrector HD Pro,144,No pagado
202243,19/03/2023,4/04/2023,Ashly Scotchforth Bury,996680461,84899 Heath Park,Jasmine,344.5,No pagado
202215,21/01/2023,16/02/2023,Kendell Battram Rival,950780425,78266 Briar Crest Center,Nude X,162.5,Pagado
202207,16/06/2023,11/07/2023,Blondie Lantiffe Helliker,910841982,8457 Basil Street,Cheeky Baby Líquido,164,Pagado
202279,26/11/2023,8/12/2023,Roanne Tefft Rotte,972903131,7 Grim Parkway,Pink Cloud Bye Filter,244,Pagado
202258,12/01/2023,19/01/2023,Anderea Charville Djorvic,930896592,984 Walton Trail,Corrector HD Pro,129.5,No pagado
202261,16/11/2023,4/12/2023,Grantham Stelfox Bahia,969792531,3 Magdeline Point,Island Girl,50,Pagado
202230,14/02/2024,28/02/2024,Mohandas Giroldi Salvadori,925406568,87282 Stephen Court,Cheeky Baby Líquido,49,Falta Pagar
202240,5/11/2023,24/11/2023,Alexi Van de Vlies Hewell,949167468,868 Grover Lane,Pink Cloud Bye Filter,290,Pagado
202244,1/03/2023,20/03/2023,Drusilla Anning Belfield,901160864,80 Esker Park,Pink Cloud Bye Filter,195,Pagado
202220,16/05/2024,5/06/2024,Milo McCaig Grievson,913641463,80505 Meadow Ridge Parkway,Cheeky Baby Líquido,102,Pagado
